parent_phrase,parent_exact_count,total_group_admissions,n_unique_child_complaints,n_MHH1_psychotic,n_MHC0,pct_MHH1_psychotic,example_child_complaints,most_frequent_child_complaints,suggested_manual_label,include_for_workup_analysis,reviewer_notes
lower extremity pain,1,25,17,13,12,52.0,acute bilateral upper and lower extremity pain | altered mental status bilateral lower extremity pain | back and lower extremity pain | back and lower extremity pain and difficulty walking | bilateral lower extremity pain | fall left lower extremity pain | left lower extremity pain | left lower extremity pain -- left multipart intertrochanteric hip fracture | left lower extremity pain and redness | lower extremity pain | lower extremity pain and difficulty walking | lower extremity pain and weakness | lower extremity pain cramping | right lower extremity pain | right lower extremity pain erythema and swelling | right lower extremity pain swelling erythema with fevers | shortness of breath and bilateral lower extremity pain,right lower extremity pain (5) | left lower extremity pain (3) | bilateral lower extremity pain (3) | left lower extremity pain -- left multipart intertrochanteric hip fracture (1) | back and lower extremity pain (1) | lower extremity pain cramping (1) | acute bilateral upper and lower extremity pain (1) | fall left lower extremity pain (1) | altered mental status bilateral lower extremity pain (1) | lower extremity pain and difficulty walking (1) | left lower extremity pain and redness (1) | shortness of breath and bilateral lower extremity pain (1) | right lower extremity pain swelling erythema with fevers (1) | lower extremity pain (1) | lower extremity pain and weakness (1) | back and lower extremity pain and difficulty walking (1) | right lower extremity pain erythema and swelling (1),,,
hip fracture,4,24,14,12,12,50.0,fall hip fracture | fall right hip fracture | hip fracture | hip fracture fall | l intertrochanteric hip fracture | left hip fracture | left hip fracture after mechanical fall | left hip fracture transfer from osh | left intertrochanteric hip fracture | left lower extremity pain -- left multipart intertrochanteric hip fracture | mechanical fall left hip fracture | r hip fracture | r hip fracture fall | right hip fracture,right hip fracture (5) | hip fracture (4) | left hip fracture (3) | left intertrochanteric hip fracture (2) | left lower extremity pain -- left multipart intertrochanteric hip fracture (1) | l intertrochanteric hip fracture (1) | mechanical fall left hip fracture (1) | fall right hip fracture (1) | r hip fracture fall (1) | fall hip fracture (1) | left hip fracture transfer from osh (1) | hip fracture fall (1) | r hip fracture (1) | left hip fracture after mechanical fall (1),,,
admission for chemotherapy,0,24,5,10,14,41.66666666666667,elective admission for chemotherapy | elective admission for chemotherapy with epoch | planned admission for chemotherapy | planned admission for chemotherapy methotrexate | scheduled admission for chemotherapy,elective admission for chemotherapy (12) | scheduled admission for chemotherapy (5) | planned admission for chemotherapy (5) | elective admission for chemotherapy with epoch (1) | planned admission for chemotherapy methotrexate (1),,,
right hip,0,24,9,13,11,54.166666666666664,- left wrist erythema/edema right hip pain | fall right hip fracture | right arm pain right hip pain weakness and fever | right hip dislocation | right hip fracture | right hip pain | right hip pain right greater trochanter fracture status post right total hip replacement | right hip pain secondary to right hip osteoarthritis | right hip wound drainage,right hip pain (12) | right hip fracture (5) | fall right hip fracture (1) | right hip wound drainage (1) | right arm pain right hip pain weakness and fever (1) | right hip pain secondary to right hip osteoarthritis (1) | right hip pain right greater trochanter fracture status post right total hip replacement (1) | - left wrist erythema/edema right hip pain (1) | right hip dislocation (1),,,
nausea vomiting abdominal pain,22,23,2,10,13,43.47826086956522,nausea vomiting abdominal pain | nausea vomiting abdominal pain hematemesis,nausea vomiting abdominal pain (22) | nausea vomiting abdominal pain hematemesis (1),,,
scheduled chemotherapy,22,23,2,14,9,60.86956521739131,scheduled chemotherapy | scheduled chemotherapy mtx,scheduled chemotherapy (22) | scheduled chemotherapy mtx (1),,,
right upper quadrant pain,17,23,7,10,13,43.47826086956522,chest pain right upper quadrant pain | cough right upper quadrant pain | right upper quadrant pain | right upper quadrant pain elevated lft s | right upper quadrant pain hematemesis | right upper quadrant pain post-ercp | year old male admitted with 2 day history of constant colicky severe right flank and right upper quadrant pain 2 hours post prandial,right upper quadrant pain (17) | right upper quadrant pain post-ercp (1) | right upper quadrant pain hematemesis (1) | year old male admitted with 2 day history of constant colicky severe right flank and right upper quadrant pain 2 hours post prandial (1) | right upper quadrant pain elevated lft s (1) | chest pain right upper quadrant pain (1) | cough right upper quadrant pain (1),,,
epigastric pain,13,23,11,10,13,43.47826086956522,coffee ground emesis epigastric pain | epigastric pain | epigastric pain diarrhea | epigastric pain emesis | epigastric pain nausea | epigastric pain nausea vomiting | epigastric pain vomiting | hyperglycemia epigastric pain | nausea epigastric pain | persistent epigastric pain | recurrent epigastric pain,epigastric pain (13) | nausea epigastric pain (1) | recurrent epigastric pain (1) | epigastric pain nausea (1) | epigastric pain emesis (1) | coffee ground emesis epigastric pain (1) | hyperglycemia epigastric pain (1) | epigastric pain nausea vomiting (1) | epigastric pain vomiting (1) | persistent epigastric pain (1) | epigastric pain diarrhea (1),,,
left foot,0,23,10,10,13,43.47826086956522,ischemic left foot | ischemic pain and cold left foot | left foot cellulitis | left foot infection | left foot pain | left foot ulcer | left foot ulcers | left foot wound and pain | left foot wound with redness and drainage | right hand and foot swelling and pain and left foot ulcer,left foot pain (8) | left foot infection (6) | left foot ulcer (2) | left foot ulcers (1) | right hand and foot swelling and pain and left foot ulcer (1) | left foot cellulitis (1) | ischemic left foot (1) | ischemic pain and cold left foot (1) | left foot wound with redness and drainage (1) | left foot wound and pain (1),,,
incisional hernia,13,22,10,8,14,36.36363636363637,gallstone pancreatitis choledocholithiasis incisional hernia | incarcerated incisional hernia | incarcerated incisional hernia with small bowel obstruction | incisional hernia | incisional hernia right colonic polyp | incisional hernia with small bowel obstruction | recurrent epigastric/ incisional hernia | recurrent incisional hernia | recurrent supraumbilical incisional hernia | reducible large abdominal incisional hernia with small bowel obstruction,incisional hernia (13) | incisional hernia with small bowel obstruction (1) | incarcerated incisional hernia (1) | incisional hernia right colonic polyp (1) | reducible large abdominal incisional hernia with small bowel obstruction (1) | recurrent epigastric/ incisional hernia (1) | incarcerated incisional hernia with small bowel obstruction (1) | recurrent supraumbilical incisional hernia (1) | gallstone pancreatitis choledocholithiasis incisional hernia (1) | recurrent incisional hernia (1),,,
weight gain,2,21,14,14,7,66.66666666666666,dyspnea lower extremity edema weight gain | dyspnea weight gain | dyspnea weight gain lower extremity edema orthopnea | fatigue dyspnea weight gain abdominal pain back pain | pedal edema dyspnea weight gain | shortness of breath weight gain | weight gain | weight gain abdominal distention | weight gain and difficulty breathing | weight gain dyspnea | weight gain lower extremity edema dyspnea | weight gain lower extremity edema dyspnea on exertion | weight gain swelling | weight gain syncope,shortness of breath weight gain (5) | weight gain dyspnea (2) | weight gain (2) | dyspnea weight gain (2) | dyspnea weight gain lower extremity edema orthopnea (1) | weight gain syncope (1) | weight gain and difficulty breathing (1) | dyspnea lower extremity edema weight gain (1) | pedal edema dyspnea weight gain (1) | weight gain lower extremity edema dyspnea on exertion (1) | fatigue dyspnea weight gain abdominal pain back pain (1) | weight gain abdominal distention (1) | weight gain swelling (1) | weight gain lower extremity edema dyspnea (1),,,
elective admission,0,21,9,10,11,47.61904761904761,cns lymphoma elective admission for high dose methotrexate | elective admission for anemia | elective admission for chemo | elective admission for chemotherapy | elective admission for chemotherapy with epoch | elective admission for high dose methotrexate infusion | elective admission for high dose methotrexate treatment | elective admission for iv steroids and cyclophosphamide for possible rapidly progressive or crescentic iga glomerulonephritis | elective admission for urological procedure hypotension,elective admission for chemotherapy (12) | elective admission for chemo (2) | elective admission for urological procedure hypotension (1) | cns lymphoma elective admission for high dose methotrexate (1) | elective admission for high dose methotrexate infusion (1) | elective admission for anemia (1) | elective admission for chemotherapy with epoch (1) | elective admission for iv steroids and cyclophosphamide for possible rapidly progressive or crescentic iga glomerulonephritis (1) | elective admission for high dose methotrexate treatment (1),,,
pain shortness of breath,0,21,8,8,13,38.095238095238095,abdominal pain shortness of breath | bilateral pain shortness of breath known dvt | chest pain shortness of breath | chest pain shortness of breath hemoptysis | chest pain shortness of breath hypoxia | l-sided chest pain shortness of breath | left sided rib pain shortness of breath | leg swelling pain shortness of breath,chest pain shortness of breath (12) | abdominal pain shortness of breath (3) | left sided rib pain shortness of breath (1) | l-sided chest pain shortness of breath (1) | leg swelling pain shortness of breath (1) | bilateral pain shortness of breath known dvt (1) | chest pain shortness of breath hemoptysis (1) | chest pain shortness of breath hypoxia (1),,,
right arm,0,21,12,10,11,47.61904761904761,pain and swelling in right arm and leg | right arm and back pain - anginal equivalent | right arm and leg weakness | right arm numbness | right arm pain | right arm pain right hip pain weakness and fever | right arm redness around incision | right arm swelling | right arm swelling pain and fever | right arm weakness | right arm weakness vision changes | right arm weakness/numbness visual disturbances,right arm pain (6) | right arm swelling (3) | right arm weakness (2) | right arm and leg weakness (2) | pain and swelling in right arm and leg (1) | right arm pain right hip pain weakness and fever (1) | right arm and back pain - anginal equivalent (1) | right arm weakness vision changes (1) | right arm swelling pain and fever (1) | right arm weakness/numbness visual disturbances (1) | right arm redness around incision (1) | right arm numbness (1),,,
shortness of breath chest,0,21,7,9,12,42.857142857142854,cough shortness of breath chest pressure | edema shortness of breath chest pain productive cough | shortness of breath chest discomfort | shortness of breath chest pain | shortness of breath chest pain and falls | shortness of breath chest pressure | shortness of breath chest tightness,shortness of breath chest pain (14) | shortness of breath chest discomfort (2) | shortness of breath chest tightness (1) | cough shortness of breath chest pressure (1) | edema shortness of breath chest pain productive cough (1) | shortness of breath chest pain and falls (1) | shortness of breath chest pressure (1),,,
left sided weakness,10,20,10,7,13,35.0,dysarthria left sided weakness | left sided weakness | left sided weakness and difficulty speaking | left sided weakness and left facial droop | left sided weakness and numbness | left sided weakness and shaking | left sided weakness and slurred speech | left sided weakness apart from normal | left sided weakness aphasia | vertigo and left sided weakness,left sided weakness (10) | left sided weakness and numbness (2) | left sided weakness apart from normal (1) | left sided weakness and shaking (1) | left sided weakness and difficulty speaking (1) | left sided weakness and left facial droop (1) | left sided weakness aphasia (1) | vertigo and left sided weakness (1) | left sided weakness and slurred speech (1) | dysarthria left sided weakness (1),,,
pain and swelling,2,20,17,8,12,40.0,abdominal pain and swelling over right lower quadrant renal allograft | arm pain and swelling | bilateral hand pain and swelling | l elbow pain and swelling | l leg pain and swelling | left arm pain and swelling | leg pain and swelling | pain and swelling | pain and swelling in left leg | pain and swelling in right arm and leg | pain and swelling left lower extremity | r index finger pain and swelling | right foot pain and swelling | right knee pain and swelling | right leg pain and swelling | scrotal pain and swelling five days after right orchiectomy and left orchiopexy | shortness of breath / leg pain and swelling,leg pain and swelling (3) | pain and swelling (2) | scrotal pain and swelling five days after right orchiectomy and left orchiopexy (1) | bilateral hand pain and swelling (1) | pain and swelling in right arm and leg (1) | l leg pain and swelling (1) | shortness of breath / leg pain and swelling (1) | r index finger pain and swelling (1) | right knee pain and swelling (1) | pain and swelling in left leg (1) | abdominal pain and swelling over right lower quadrant renal allograft (1) | right leg pain and swelling (1) | l elbow pain and swelling (1) | left arm pain and swelling (1) | arm pain and swelling (1) | right foot pain and swelling (1) | pain and swelling left lower extremity (1),,,
acute on chronic,0,20,18,13,7,65.0,acute on chronic abdominal pain | acute on chronic chest pain | acute on chronic low back pain | acute on chronic lower extremity edema | acute on chronic pain | acute on chronic pancreatitis | acute on chronic renal failure | acute on chronic respiratory distress | acute on chronic respiratory failure | chest pain acute on chronic r sided weakness | dehydration/supratherepeutic digoxin levels/decompensated acute on chronic systolic and diastolic heart failure | headache light-headedness dizziness worsening acute on chronic abdominal pain and symptomatic hyponatremia | hyperglycemia acute on chronic abdominal pain acute on chronic nausea/vomiting | hyperkalemia acute on chronic kidney injury | hyperkalemia acute on chronic renal failure | hyperkalemia urosepsis acute on chronic renal failure | nausea vomiting diarrhea acute on chronic kidney injury | urinary retention acute on chronic pain,acute on chronic renal failure (2) | acute on chronic abdominal pain (2) | chest pain acute on chronic r sided weakness (1) | headache light-headedness dizziness worsening acute on chronic abdominal pain and symptomatic hyponatremia (1) | hyperglycemia acute on chronic abdominal pain acute on chronic nausea/vomiting (1) | dehydration/supratherepeutic digoxin levels/decompensated acute on chronic systolic and diastolic heart failure (1) | urinary retention acute on chronic pain (1) | acute on chronic chest pain (1) | acute on chronic pancreatitis (1) | acute on chronic lower extremity edema (1) | hyperkalemia acute on chronic kidney injury (1) | acute on chronic respiratory distress (1) | hyperkalemia urosepsis acute on chronic renal failure (1) | acute on chronic pain (1) | nausea vomiting diarrhea acute on chronic kidney injury (1) | acute on chronic low back pain (1) | acute on chronic respiratory failure (1) | hyperkalemia acute on chronic renal failure (1),,,
